Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,,tailwind-animationbased,2.3.6,,2025-12-07T15:34:28.203Z,2025-12-07T15:49:22.317Z
npm,,tailwindcss-typography-style,0.8.2,,2025-12-14T06:18:22.681Z,2025-12-14T06:24:27.849Z
npm,,tailwindcss-style-animate,1.1.6,,2025-12-14T06:44:27.726Z,2025-12-14T06:50:09.943Z
npm,,tailwindcss-style-modify,0.8.3,,2025-12-14T07:03:45.149Z,2025-12-14T07:09:20.601Z
npm,,tailwind-autoanimation,2.3.6,,2025-12-20T04:39:53.409Z,2025-12-20T04:45:02.596Z
npm,,tailwind-mainanimation,2.3.3,,2026-01-09T11:26:41.490Z,2026-01-09T11:30:55.722Z
composer,plusinfolab,logstation,dev-master,,,2026-06-09T19:11:51.446Z
composer,plusinfolab,logstation,dev-dependabot/github_actions/actions/checkout-6,,,2026-06-09T19:11:46.350Z
composer,sevenspan,laravel-chat,1.4.0,,,2026-07-15T03:46:20.169Z
composer,sevenspan,laravel-chat,1.4.1,,,2026-07-13T23:27:26.506Z
composer,sevenspan,laravel-chat,1.4.2,,,2026-07-15T03:46:18.055Z
composer,sevenspan,laravel-chat,1.5.1,,,2026-07-13T23:27:26.511Z
composer,sevenspan,laravel-chat,dev-imp/message-type,,,2026-06-17T16:10:29.397Z
composer,sevenspan,laravel-chat,dev-feat/message-variables,,,2026-06-17T16:10:27.163Z
composer,sevenspan,laravel-chat,1.5.2,,,2026-07-13T19:26:53.720Z
composer,sevenspan,laravel-chat,dev-feat/php-version-upgrade,,,2026-06-17T16:10:27.104Z
composer,sevenspan,laravel-chat,dev-ability-to-encrypt-body,,,2026-06-17T16:10:25.908Z
composer,sevenspan,laravel-chat,dev-feat/doc,,,2026-06-17T16:10:26.501Z
composer,sevenspan,laravel-chat,1.5.0,,,2026-07-15T03:46:17.473Z
composer,roberts,leads,2.0.1,,,2026-06-01T00:24:45.776Z
composer,roberts,leads,2.0.2,,,2026-06-01T00:24:45.830Z
composer,roberts,leads,2.1.0,,,2026-06-01T00:24:45.789Z
composer,roberts,leads,2.1.2,,,2026-06-01T00:24:44.107Z
composer,roberts,leads,2.0.3,,,2026-06-01T00:24:45.964Z
composer,roberts,leads,2.1.1,,,2026-06-01T00:24:44.115Z
composer,roberts,leads,dev-main,,,2026-06-01T00:24:44.108Z
composer,roberts,leads,2.0.0,,,2026-06-01T00:24:45.718Z
composer,roberts,leads,2.1.4,,,2026-06-01T00:24:44.130Z
composer,roberts,leads,dev-drewroberts/feature/test-case,,,2026-05-30T23:50:39.075Z
composer,roberts,leads,2.1.3,,,2026-06-01T00:24:44.108Z
npm,,tailwindcss-animate-style,1.2.5,,2026-03-10T20:38:00.882Z,2026-03-10T20:43:08.050Z
npm,,tailwindcss-style-typography,0.5.8,,2026-03-13T15:11:15.857Z,2026-03-13T15:15:06.322Z
npm,,tailwindcss-style-typography,0.5.6,,2026-03-13T15:09:30.082Z,2026-03-13T15:15:05.839Z
npm,,tailwind-animationbasis,2.3.3,,2026-03-14T00:09:05.010Z,2026-03-14T00:14:02.505Z
composer,plusinfolab,logstation,dev-dependabot/github_actions/ramsey/composer-install-4,,,2026-06-09T19:11:47.641Z
npm,,tailwindthml-flips,1.0.3,,2026-03-27T10:19:45.960Z,2026-04-20T03:00:29.440Z
npm,,tailwindthml-flips,1.0.4,,2026-03-28T13:19:13.353Z,2026-03-28T13:24:40.793Z
npm,,tailwindthml-flips,1.0.5,,2026-03-28T18:33:25.083Z,2026-03-28T18:39:11.420Z
npm,,tailwind-stylecss-typography,0.8.3,,2026-04-03T18:26:34.241Z,2026-04-03T18:31:43.739Z
npm,,tailwind-typography-cssstyle,0.8.3,,2026-04-03T20:15:04.785Z,2026-04-03T20:19:56.556Z
composer,plusinfolab,logstation,dev-dependabot/github_actions/dependabot/fetch-metadata-3.1.0,,,2026-06-09T19:11:47.243Z
golang,github.com/zainirfan13,graphql-client,v0.0.0-20220912215956-d304e79da123,,2022-09-12T21:59:56.000Z,2026-06-30T13:42:20.770Z
golang,github.com/pedrocost4,learninggo,v0.0.0-20230918010911-3797c964773d,,2023-09-18T01:09:11.000Z,2026-06-30T13:42:19.458Z
golang,github.com/barsu5489,linked-list,v0.0.0-20231201174326-3afac3ca2eb0,,2023-12-01T17:43:26.000Z,2026-06-30T13:42:18.561Z
golang,github.com/lambda-platform,lambda,v0.9.16-0.20260509105729-f77ea62b54e7,,2026-05-09T10:57:29.000Z,2026-06-29T11:36:26.912Z
composer,lambda-platform,moqup,dev-master,reference=481e1031531fa8767e0a761270489d6c19564fd7,,2026-05-21T22:01:19.552Z
golang,github.com/rajpdus,meetingsummarizer,v0.0.0-20230417063422-1ac2ec17a921,,2023-04-17T06:34:22.000Z,2026-06-30T13:42:19.572Z
golang,github.com/telexintegrations,telex-cve-monitor,v0.0.0-20250222191817-7fdcc417ea83,,2025-02-22T19:18:17.000Z,2026-06-30T13:42:20.424Z
golang,github.com/workshopapps,pictureminer.api,v0.0.0-20221219200451-bc99ca334525,,2022-12-19T20:04:51.000Z,2026-06-30T13:42:20.636Z
golang,github.com/zurichat,zc_core,v0.0.0-20230228170444-4293c29813d5,,2023-02-28T17:04:44.000Z,2026-06-30T13:42:20.839Z
composer,sevenspan,laravel-chat,dev-feat/message-variables,reference=d59e43fd835166e707b76a1e99e7142c61e31a8d,,2026-05-21T21:51:21.694Z
golang,github.com/Setsu548,Desuna-payment-platform,v0.0.0-20240422135415-4c1a671f387f,,2024-04-22T13:54:15.000Z,2026-06-30T13:42:19.709Z
golang,github.com/setsu548,desuna-payment-platform,v0.0.0-20240422135415-4c1a671f387f,,2024-04-22T13:54:15.000Z,2026-06-30T13:42:19.779Z
golang,github.com/shariyerShazan,goLang-fiber-api-prac,v0.0.0-20251106153325-6b6a12627f77,,2025-11-06T15:33:25.000Z,2026-06-30T13:42:20.254Z
golang,github.com/shariyershazan,golang-fiber-api-prac,v0.0.0-20251106153325-6b6a12627f77,,2025-11-06T15:33:25.000Z,2026-06-30T13:42:20.308Z
golang,github.com/ibitolamayowa,zurichatbot,v0.0.0-20211001223842-c3b478092c01,,2021-10-01T22:38:42.000Z,2026-06-30T13:42:18.952Z
golang,github.com/dpkkmishra,caddy-auth-jwt,v0.0.0-20210129140145-baa17c28bb69,,2021-01-29T14:01:45.000Z,2026-06-30T13:42:18.632Z
golang,github.com/khunhai1,GopherTicTacToe,v0.0.0-20250120223649-bb0aaa2267cb,,2025-01-20T22:36:49.000Z,2026-06-30T13:42:19.019Z
golang,github.com/khunhai1,gophertictactoe,v0.0.0-20250120223649-bb0aaa2267cb,,2025-01-20T22:36:49.000Z,2026-06-30T13:42:19.082Z
npm,,tailwind-typography-cssstyle,0.0.1-security,,2026-05-21T14:32:34.396Z,2026-05-30T00:05:23.913Z
